2024-04-10 14:05:20 install libncurses6:armhf <none> 6.3-2
2024-04-10 14:05:20 status half-installed libncurses6:armhf 6.3-2
2024-04-10 14:05:20 status unpacked libncurses6:armhf 6.3-2
2024-04-10 14:05:20 install libncursesw6:armhf <none> 6.3-2
2024-04-10 14:05:20 status half-installed libncursesw6:armhf 6.3-2
2024-04-10 14:05:20 status unpacked libncursesw6:armhf 6.3-2
2024-04-10 14:05:20 install libnsl2:armhf <none> 1.3.0-2build2
2024-04-10 14:05:20 status half-installed libnsl2:armhf 1.3.0-2build2
2024-04-10 14:05:20 status unpacked libnsl2:armhf 1.3.0-2build2
2024-04-10 14:05:20 install libpam-modules:armhf <none> 1.4.0-11ubuntu2
2024-04-10 14:05:20 status half-installed libpam-modules:armhf 1.4.0-11ubuntu2
2024-04-10 14:05:20 status unpacked libpam-modules:armhf 1.4.0-11ubuntu2
2024-04-10 14:05:20 install libpam-modules-bin:armhf <none> 1.4.0-11ubuntu2
2024-04-10 14:05:20 status half-installed libpam-modules-bin:armhf 1.4.0-11ubuntu2
2024-04-10 14:05:20 status unpacked libpam-modules-bin:armhf 1.4.0-11ubuntu2
2024-04-10 14:05:20 install libpam-runtime:all <none> 1.4.0-11ubuntu2
2024-04-10 14:05:20 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2024-04-10 14:05:20 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2024-04-10 14:05:20 install libpam0g:armhf <none> 1.4.0-11ubuntu2
2024-04-10 14:05:20 status half-installed libpam0g:armhf 1.4.0-11ubuntu2
2024-04-10 14:05:20 status unpacked libpam0g:armhf 1.4.0-11ubuntu2
2024-04-10 14:05:20 install libpcre2-8-0:armhf <none> 10.39-3build1
2024-04-10 14:05:20 status half-installed libpcre2-8-0:armhf 10.39-3build1
2024-04-10 14:05:20 status unpacked libpcre2-8-0:armhf 10.39-3build1
2024-04-10 14:05:20 install libpcre3:armhf <none> 2:8.39-13build5
2024-04-10 14:05:20 status half-installed libpcre3:armhf 2:8.39-13build5
2024-04-10 14:05:20 status unpacked libpcre3:armhf 2:8.39-13build5
2024-04-10 14:05:20 install libprocps8:armhf <none> 2:3.3.17-6ubuntu2
2024-04-10 14:05:20 status half-installed libprocps8:armhf 2:3.3.17-6ubuntu2
2024-04-10 14:05:20 status unpacked libprocps8:armhf 2:3.3.17-6ubuntu2
2024-04-10 14:05:20 install libselinux1:armhf <none> 3.3-1build2
2024-04-10 14:05:20 status half-installed libselinux1:armhf 3.3-1build2
2024-04-10 14:05:20 status unpacked libselinux1:armhf 3.3-1build2
2024-04-10 14:05:20 install libsemanage-common:all <none> 3.3-1build2
2024-04-10 14:05:20 status half-installed libsemanage-common:all 3.3-1build2
2024-04-10 14:05:20 status unpacked libsemanage-common:all 3.3-1build2
2024-04-10 14:05:20 install libsemanage2:armhf <none> 3.3-1build2
2024-04-10 14:05:20 status half-installed libsemanage2:armhf 3.3-1build2
2024-04-10 14:05:20 status unpacked libsemanage2:armhf 3.3-1build2
2024-04-10 14:05:20 install libsepol2:armhf <none> 3.3-1build1
2024-04-10 14:05:20 status half-installed libsepol2:armhf 3.3-1build1
2024-04-10 14:05:20 status unpacked libsepol2:armhf 3.3-1build1
2024-04-10 14:05:20 install libsmartcols1:armhf <none> 2.37.2-4ubuntu3
2024-04-10 14:05:20 status half-installed libsmartcols1:armhf 2.37.2-4ubuntu3
2024-04-10 14:05:20 status unpacked libsmartcols1:armhf 2.37.2-4ubuntu3
2024-04-10 14:05:20 install libss2:armhf <none> 1.46.5-2ubuntu1
2024-04-10 14:05:20 status half-installed libss2:armhf 1.46.5-2ubuntu1
2024-04-10 14:05:20 status unpacked libss2:armhf 1.46.5-2ubuntu1
2024-04-10 14:05:20 install libssl3:armhf <none> 3.0.2-0ubuntu1
2024-04-10 14:05:20 status half-installed libssl3:armhf 3.0.2-0ubuntu1
2024-04-10 14:05:20 status unpacked libssl3:armhf 3.0.2-0ubuntu1
2024-04-10 14:05:20 install libsystemd0:armhf <none> 249.11-0ubuntu3
2024-04-10 14:05:20 status half-installed libsystemd0:armhf 249.11-0ubuntu3
2024-04-10 14:05:20 status unpacked libsystemd0:armhf 249.11-0ubuntu3
2024-04-10 14:05:20 install libtinfo6:armhf <none> 6.3-2
2024-04-10 14:05:20 status half-installed libtinfo6:armhf 6.3-2
2024-04-10 14:05:20 status unpacked libtinfo6:armhf 6.3-2
2024-04-10 14:05:20 install libtirpc-common:all <none> 1.3.2-2build1
2024-04-10 14:05:20 status half-installed libtirpc-common:all 1.3.2-2build1
2024-04-10 14:05:20 status unpacked libtirpc-common:all 1.3.2-2build1
2024-04-10 14:05:20 install libtirpc3:armhf <none> 1.3.2-2build1
2024-04-10 14:05:20 status half-installed libtirpc3:armhf 1.3.2-2build1
2024-04-10 14:05:20 status unpacked libtirpc3:armhf 1.3.2-2build1
2024-04-10 14:05:20 install libudev1:armhf <none> 249.11-0ubuntu3
2024-04-10 14:05:20 status half-installed libudev1:armhf 249.11-0ubuntu3
2024-04-10 14:05:20 status unpacked libudev1:armhf 249.11-0ubuntu3
2024-04-10 14:05:20 install libuuid1:armhf <none> 2.37.2-4ubuntu3
2024-04-10 14:05:20 status half-installed libuuid1:armhf 2.37.2-4ubuntu3
2024-04-10 14:05:20 status unpacked libuuid1:armhf 2.37.2-4ubuntu3
2024-04-10 14:05:20 install libzstd1:armhf <none> 1.4.8+dfsg-3build1
2024-04-10 14:05:20 status half-installed libzstd1:armhf 1.4.8+dfsg-3build1
2024-04-10 14:05:21 status unpacked libzstd1:armhf 1.4.8+dfsg-3build1
2024-04-10 14:05:21 install login:armhf <none> 1:4.8.1-2ubuntu2
2024-04-10 14:05:21 status half-installed login:armhf 1:4.8.1-2ubuntu2
2024-04-10 14:05:21 status unpacked login:armhf 1:4.8.1-2ubuntu2
2024-04-10 14:05:21 install logsave:armhf <none> 1.46.5-2ubuntu1
2024-04-10 14:05:21 status half-installed logsave:armhf 1.46.5-2ubuntu1
2024-04-10 14:05:21 status unpacked logsave:armhf 1.46.5-2ubuntu1
2024-04-10 14:05:21 install lsb-base:all <none> 11.1.0ubuntu4
2024-04-10 14:05:21 status half-installed lsb-base:all 11.1.0ubuntu4
2024-04-10 14:05:21 status unpacked lsb-base:all 11.1.0ubuntu4
2024-04-10 14:05:21 upgrade mawk:armhf 1.3.4.20200120-3 1.3.4.20200120-3
2024-04-10 14:05:21 status half-configured mawk:armhf 1.3.4.20200120-3
2024-04-10 14:05:21 status unpacked mawk:armhf 1.3.4.20200120-3
2024-04-10 14:05:21 status half-installed mawk:armhf 1.3.4.20200120-3
2024-04-10 14:05:21 status unpacked mawk:armhf 1.3.4.20200120-3
2024-04-10 14:05:21 install mount:armhf <none> 2.37.2-4ubuntu3
2024-04-10 14:05:21 status half-installed mount:armhf 2.37.2-4ubuntu3
2024-04-10 14:05:21 status unpacked mount:armhf 2.37.2-4ubuntu3
2024-04-10 14:05:21 install ncurses-base:all <none> 6.3-2
2024-04-10 14:05:21 status half-installed ncurses-base:all 6.3-2
2024-04-10 14:05:21 status unpacked ncurses-base:all 6.3-2
2024-04-10 14:05:21 install ncurses-bin:armhf <none> 6.3-2
2024-04-10 14:05:21 status half-installed ncurses-bin:armhf 6.3-2
2024-04-10 14:05:21 status unpacked ncurses-bin:armhf 6.3-2
2024-04-10 14:05:21 install passwd:armhf <none> 1:4.8.1-2ubuntu2
2024-04-10 14:05:21 status half-installed passwd:armhf 1:4.8.1-2ubuntu2
2024-04-10 14:05:21 status unpacked passwd:armhf 1:4.8.1-2ubuntu2
